normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,wheel-base,length,width,height,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,curb-weight
188.0,bmw,gas,std,two,sedan,rwd,101.2,176.8,64.8,54.3,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,2710
188.0,bmw,gas,std,four,sedan,rwd,101.2,176.8,64.8,54.3,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,2765
115.0,bmw,gas,std,four,sedan,rwd,103.5,189.0,66.9,55.7,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,3055
115.0,bmw,gas,std,four,sedan,rwd,103.5,189.0,66.9,55.7,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,3230
115.0,bmw,gas,std,two,sedan,rwd,103.5,193.8,67.9,53.7,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,3380
115.0,bmw,gas,std,four,sedan,rwd,110.0,197.0,70.9,56.3,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,3505
121.0,chevrolet,gas,std,two,hatchback,fwd,88.4,141.1,60.3,53.2,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,1488
98.0,chevrolet,gas,std,two,hatchback,fwd,94.5,155.9,63.6,52.0,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,1874
81.0,chevrolet,gas,std,four,sedan,fwd,94.5,158.8,63.6,52.0,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,1909
118.0,dodge,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,1876
118.0,dodge,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6377.0,1876
118.0,dodge,gas,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,2128
148.0,dodge,gas,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,1967
148.0,dodge,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,1989
148.0,dodge,gas,std,four,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,1989
148.0,dodge,gas,turbo,?,sedan,fwd,93.7,157.3,63.8,50.6,ohc,four,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,2191
110.0,dodge,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,ohc,four,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,2535
145.0,dodge,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,2811
137.0,honda,gas,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,ohc,four,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479.0,1713
137.0,honda,gas,std,two,hatchback,fwd,86.6,144.6,63.9,50.8,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,1819
101.0,honda,gas,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,ohc,four,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,1837
101.0,honda,gas,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529.0,1940
101.0,honda,gas,std,two,hatchback,fwd,93.7,150.0,64.0,52.6,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,1956
110.0,honda,gas,std,four,sedan,fwd,96.5,163.4,64.0,54.5,ohc,four,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,2010
78.0,honda,gas,std,four,wagon,fwd,96.5,157.1,63.9,58.3,ohc,four,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,2024
106.0,honda,gas,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895.0,2236
106.0,honda,gas,std,two,hatchback,fwd,96.5,167.5,65.2,53.3,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,2289
85.0,honda,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,2304
85.0,honda,gas,std,four,sedan,fwd,96.5,175.4,62.5,54.1,ohc,four,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,2372
85.0,honda,gas,std,four,sedan,fwd,96.5,175.4,65.2,54.1,ohc,four,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,2465
107.0,honda,gas,std,two,sedan,fwd,96.5,169.1,66.0,51.0,ohc,four,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,2293
115.0,isuzu,gas,std,four,sedan,rwd,94.3,170.7,61.8,53.5,ohc,four,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,2337
115.0,isuzu,gas,std,two,hatchback,rwd,96.0,172.6,65.2,51.4,ohc,four,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,2734
145.0,jaguar,gas,std,four,sedan,rwd,113.0,199.6,69.6,52.8,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250.0,4066
115.0,jaguar,gas,std,four,sedan,rwd,113.0,199.6,69.6,52.8,dohc,six,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550.0,4066
115.0,jaguar,gas,std,two,sedan,rwd,102.0,191.7,70.6,47.8,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000.0,3950
104.0,mazda,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,30,31,5195.0,1890
104.0,mazda,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6095.0,1900
104.0,mazda,gas,std,two,hatchback,fwd,93.1,159.1,64.2,54.1,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6795.0,1905
113.0,mazda,gas,std,four,sedan,fwd,93.1,166.8,64.2,54.1,ohc,four,91,2bbl,3.03,3.15,9.0,68.0,5000.0,31,38,6695.0,1945
113.0,mazda,gas,std,four,sedan,fwd,93.1,166.8,64.2,54.1,ohc,four,91,2bbl,3.08,3.15,9.0,68.0,5000.0,31,38,7395.0,1950
150.0,mazda,gas,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17,23,10945.0,2380
150.0,mazda,gas,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17,23,11845.0,2380
150.0,mazda,gas,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,rotor,two,70,4bbl,3.31,3.29,9.4,101.0,6000.0,17,23,13645.0,2385
150.0,mazda,gas,std,two,hatchback,rwd,95.3,169.0,65.7,49.6,rotor,two,80,mpfi,3.31,3.29,9.4,135.0,6000.0,16,23,15645.0,2500
129.0,mazda,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845.0,2385
115.0,mazda,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495.0,2410
129.0,mazda,gas,std,two,hatchback,fwd,98.8,177.8,66.5,53.7,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595.0,2385
115.0,mazda,gas,std,four,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245.0,2410
115.0,mazda,diesel,std,?,sedan,fwd,98.8,177.8,66.5,55.5,ohc,four,122,idi,3.39,3.39,22.7,64.0,4650.0,36,42,10795.0,2443
115.0,mazda,gas,std,four,hatchback,fwd,98.8,177.8,66.5,55.5,ohc,four,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245.0,2425
118.0,mazda,gas,std,four,sedan,rwd,104.9,175.0,66.1,54.4,ohc,four,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280.0,2670
115.0,mazda,diesel,std,four,sedan,rwd,104.9,175.0,66.1,54.4,ohc,four,134,idi,3.43,3.64,22.0,72.0,4200.0,31,39,18344.0,2700
93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,110.0,190.9,70.3,56.5,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552.0,3515
93.0,mercedes-benz,diesel,turbo,four,wagon,rwd,110.0,190.9,70.3,58.7,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248.0,3750
93.0,mercedes-benz,diesel,turbo,two,hardtop,rwd,106.7,187.5,70.3,54.9,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176.0,3495
93.0,mercedes-benz,diesel,turbo,four,sedan,rwd,115.6,202.6,71.7,56.3,ohc,five,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600.0,3770
115.0,mercedes-benz,gas,std,four,sedan,rwd,115.6,202.6,71.7,56.5,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184.0,3740
142.0,mercedes-benz,gas,std,two,convertible,rwd,96.6,180.3,70.5,50.8,ohcv,eight,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056.0,3685
115.0,mercedes-benz,gas,std,four,sedan,rwd,120.9,208.1,71.7,56.7,ohcv,eight,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960.0,3900
115.0,mercedes-benz,gas,std,two,hardtop,rwd,112.0,199.2,72.0,55.4,ohcv,eight,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400.0,3715
115.0,mercury,gas,turbo,two,hatchback,rwd,102.7,178.4,68.0,54.8,ohc,four,140,mpfi,3.78,3.12,8.0,175.0,5000.0,19,24,16503.0,2910
161.0,mitsubishi,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5389.0,1918
161.0,mitsubishi,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6189.0,1944
161.0,mitsubishi,gas,std,two,hatchback,fwd,93.7,157.3,64.4,50.8,ohc,four,92,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6669.0,2004
161.0,mitsubishi,gas,turbo,two,hatchback,fwd,93.0,157.3,63.8,50.8,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689.0,2145
153.0,mitsubishi,gas,turbo,two,hatchback,fwd,96.3,173.0,65.4,49.4,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959.0,2370
153.0,mitsubishi,gas,std,two,hatchback,fwd,96.3,173.0,65.4,49.4,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499.0,2328
115.0,mitsubishi,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629.0,2833
115.0,mitsubishi,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869.0,2921
115.0,mitsubishi,gas,turbo,two,hatchback,fwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489.0,2926
125.0,mitsubishi,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989.0,2365
125.0,mitsubishi,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189.0,2405
125.0,mitsubishi,gas,turbo,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,2403
137.0,mitsubishi,gas,std,four,sedan,fwd,96.3,172.4,65.4,51.6,ohc,four,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279.0,2403
128.0,nissan,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499.0,1889
128.0,nissan,diesel,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099.0,2017
128.0,nissan,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649.0,1918
122.0,nissan,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849.0,1938
103.0,nissan,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349.0,2024
128.0,nissan,gas,std,two,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299.0,1951
128.0,nissan,gas,std,two,hatchback,fwd,94.5,165.6,63.8,53.3,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799.0,2028
122.0,nissan,gas,std,four,sedan,fwd,94.5,165.3,63.8,54.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499.0,1971
103.0,nissan,gas,std,four,wagon,fwd,94.5,170.2,63.8,53.5,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999.0,2037
168.0,nissan,gas,std,two,hardtop,fwd,95.1,162.4,63.8,53.3,ohc,four,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249.0,2008
106.0,nissan,gas,std,four,hatchback,fwd,97.2,173.4,65.2,54.7,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949.0,2324
106.0,nissan,gas,std,four,sedan,fwd,97.2,173.4,65.2,54.7,ohc,four,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549.0,2302
128.0,nissan,gas,std,four,sedan,fwd,100.4,181.7,66.5,55.1,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499.0,3095
108.0,nissan,gas,std,four,wagon,fwd,100.4,184.6,66.5,56.1,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399.0,3296
108.0,nissan,gas,std,four,sedan,fwd,100.4,184.6,66.5,55.1,ohcv,six,181,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499.0,3060
194.0,nissan,gas,std,two,hatchback,rwd,91.3,170.7,67.9,49.7,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199.0,3071
194.0,nissan,gas,turbo,two,hatchback,rwd,91.3,170.7,67.9,49.7,ohcv,six,181,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699.0,3139
231.0,nissan,gas,std,two,hatchback,rwd,99.2,178.5,67.9,49.7,ohcv,six,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399.0,3139
161.0,peugot,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900.0,3020
161.0,peugot,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200.0,3197
115.0,peugot,gas,std,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,12440.0,3230
115.0,peugot,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,13860.0,3430
161.0,peugot,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,15580.0,3075
161.0,peugot,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900.0,3252
115.0,peugot,gas,std,four,wagon,rwd,114.2,198.9,68.4,56.7,l,four,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,16695.0,3285
115.0,peugot,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,17075.0,3485
161.0,peugot,gas,std,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630.0,3075
161.0,peugot,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,l,four,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950.0,3252
161.0,peugot,gas,turbo,four,sedan,rwd,108.0,186.7,68.3,56.0,l,four,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150.0,3130
119.0,plymouth,gas,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,37,41,5572.0,1918
119.0,plymouth,gas,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,ohc,four,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,2128
154.0,plymouth,gas,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6229.0,1967
154.0,plymouth,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,ohc,four,90,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,1989
154.0,plymouth,gas,std,four,sedan,fwd,93.7,167.3,63.8,50.8,ohc,four,98,2bbl,2.97,3.23,9.4,68.0,5500.0,31,38,7609.0,2191
74.0,plymouth,gas,std,four,wagon,fwd,103.3,174.6,64.6,59.8,ohc,four,122,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921.0,2535
115.0,plymouth,gas,turbo,two,hatchback,rwd,95.9,173.2,66.3,50.2,ohc,four,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,12764.0,2818
186.0,porsche,gas,std,two,hatchback,rwd,94.5,168.9,68.3,50.2,ohc,four,151,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018.0,2778
115.0,porsche,gas,std,two,hardtop,rwd,89.5,168.9,65.0,51.6,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528.0,2756
115.0,porsche,gas,std,two,hardtop,rwd,89.5,168.9,65.0,51.6,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028.0,2756
115.0,porsche,gas,std,two,convertible,rwd,89.5,168.9,65.0,51.6,ohcf,six,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028.0,2800
115.0,renault,gas,std,four,wagon,fwd,96.1,181.5,66.5,55.2,ohc,four,132,mpfi,3.46,3.9,8.7,95.0,5200.0,23,31,9295.0,2579
115.0,renault,gas,std,two,hatchback,fwd,96.1,176.8,66.6,50.5,ohc,four,132,mpfi,3.46,3.9,8.7,95.0,5200.0,23,31,9895.0,2460
150.0,saab,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850.0,2658
104.0,saab,gas,std,four,sedan,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170.0,2695
150.0,saab,gas,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040.0,2707
104.0,saab,gas,std,four,sedan,fwd,99.1,186.6,66.5,56.1,ohc,four,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510.0,2758
150.0,saab,gas,turbo,two,hatchback,fwd,99.1,186.6,66.5,56.1,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150.0,2808
104.0,saab,gas,turbo,four,sedan,fwd,99.1,186.6,66.5,56.1,dohc,four,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620.0,2847
83.0,subaru,gas,std,two,hatchback,fwd,93.7,156.9,63.4,53.7,ohcf,four,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118.0,2050
83.0,subaru,gas,std,two,hatchback,fwd,93.7,157.9,63.6,53.7,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053.0,2120
83.0,subaru,gas,std,two,hatchback,4wd,93.3,157.3,63.8,55.7,ohcf,four,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7603.0,2240
102.0,subaru,gas,std,four,sedan,fwd,97.2,172.0,65.4,52.5,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4800.0,32,37,7126.0,2145
102.0,subaru,gas,std,four,sedan,fwd,97.2,172.0,65.4,52.5,ohcf,four,108,2bbl,3.62,2.64,9.5,82.0,4400.0,28,33,7775.0,2190
102.0,subaru,gas,std,four,sedan,fwd,97.2,172.0,65.4,52.5,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32,9960.0,2340
102.0,subaru,gas,std,four,sedan,4wd,97.0,172.0,65.4,54.3,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233.0,2385
102.0,subaru,gas,turbo,four,sedan,4wd,97.0,172.0,65.4,54.3,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259.0,2510
89.0,subaru,gas,std,four,wagon,fwd,97.0,173.5,65.4,53.0,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463.0,2290
89.0,subaru,gas,std,four,wagon,fwd,97.0,173.5,65.4,53.0,ohcf,four,108,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198.0,2455
85.0,subaru,gas,std,four,wagon,4wd,96.9,173.6,65.4,54.9,ohcf,four,108,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013.0,2420
85.0,subaru,gas,turbo,four,wagon,4wd,96.9,173.6,65.4,54.9,ohcf,four,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,23,11694.0,2650
87.0,toyota,gas,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,35,39,5348.0,1985
87.0,toyota,gas,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6338.0,2040
74.0,toyota,gas,std,four,hatchback,fwd,95.7,158.7,63.6,54.5,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6488.0,2015
77.0,toyota,gas,std,four,wagon,fwd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918.0,2280
81.0,toyota,gas,std,four,wagon,4wd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,7898.0,2290
91.0,toyota,gas,std,four,wagon,4wd,95.7,169.7,63.6,59.1,ohc,four,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778.0,3110
91.0,toyota,gas,std,four,sedan,fwd,95.7,166.3,64.4,53.0,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938.0,2081
91.0,toyota,gas,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,7198.0,2109
91.0,toyota,diesel,std,four,sedan,fwd,95.7,166.3,64.4,53.0,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,34,36,7898.0,2275
91.0,toyota,diesel,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,110,idi,3.27,3.35,22.5,56.0,4500.0,38,47,7788.0,2275
91.0,toyota,gas,std,four,sedan,fwd,95.7,166.3,64.4,53.0,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,38,47,7738.0,2094
91.0,toyota,gas,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,8358.0,2122
91.0,toyota,gas,std,four,sedan,fwd,95.7,166.3,64.4,52.8,ohc,four,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,9258.0,2140
